"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "Python", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 43
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 0, 0, 0, 7, 0, 0, -1, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 0, 0, 16, 0, 0, 2, 2, 20
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\merchantFile.js", "JavaScript", 0, 0, -22, 0, 0, 0, -3, -25
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\index.html", "HTML", 0, 4, 0, 0, 0, 7, 1, 12
"Total", "-", 4, 4, 21, 54, 11, 9, 3, 106
