"filename", "language", "Markdown", "Python", "HTML", "JavaScript", "pip requirements", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 0, 26, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\member.py", "Python", 0, 62, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", 0, 95, 0, 0, 0, 0, 0, 0, 3, 98
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\data.sql", "SQL", 0, 0, 0, 0, 0, 0, 103, 30, 20, 153
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\database.py", "Python", 0, 25, 0, 0, 0, 0, 0, 10, 3, 38
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\jsonify.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\saveToS3.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\token.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\requirements.txt", "pip requirements", 0, 0, 0, 0, 69, 0, 0, 0, 0, 69
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 0, 0, 0, 0, 0, 43, 0, 0, 1, 44
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 0, 0, 0, 0, 0, 221, 0, 0, 1, 222
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", 0, 0, 0, 0, 0, 65, 0, 0, 0, 65
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\merchantfile.css", "CSS", 0, 0, 0, 0, 0, 248, 0, 0, 7, 255
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 0, 0, 0, 0, 0, 113, 0, 0, 0, 113
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\text.css", "CSS", 0, 0, 0, 0, 0, 52, 0, 0, 0, 52
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\fetchInfo.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberData.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 5, 52
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 2, 2, 20
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\merchantFile.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 2, 2, 97
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 0, 0, 0, 81, 0, 0, 0, 3, 11, 95
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\member.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\menu.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 137, 3, 197
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\store.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\base.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\index.html", "HTML", 0, 0, 158, 0, 0, 0, 0, 7, 2, 167
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\itemPage.html", "HTML", 0, 0, 59, 0, 0, 0, 0, 0, 0, 59
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantfile.html", "HTML", 0, 0, 131, 0, 0, 0, 0, 0, 0, 131
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantpage.html", "HTML", 0, 0, 66, 0, 0, 0, 0, 0, 5, 71
"Total", "-", 7, 269, 443, 452, 69, 742, 103, 193, 105, 2383
