"filename", "language", "Python", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\delever.py", "Python", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\member.py", "Python", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\order.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 65, 0, 0, 0, 0, 2, 4, 71
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\restaurant.json", "JSON", 0, 0, 0, 0, 10075, 0, 0, 10075
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\countDistance.py", "Python", 13, 0, 0, 0, 0, 5, 7, 25
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\token.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\restaurant.py", "Python", 28, 0, 0, 0, 0, 128, 12, 168
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverPage.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 39
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverfile.css", "CSS", 0, 0, 0, 81, 0, 0, 3, 84
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 0, 0, 0, 27, 0, 0, -1, 26
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", 0, 0, 0, 34, 0, 0, 1, 35
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\payment.css", "CSS", 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\text.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\previewPhoto.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\deleverData.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 19
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 0, 0, 46, 0, 0, 0, 5, 51
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\bookList.js", "JavaScript", 0, 0, 2, 0, 0, 5, 0, 7
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\deleverPhoto.js", "JavaScript", 0, 0, 46, 0, 0, 0, 7, 53
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\item.js", "JavaScript", 0, 0, 88, 0, 0, 0, 5, 93
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\store.js", "JavaScript", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\tappay.js", "JavaScript", 0, 0, 74, 0, 0, 12, 6, 92
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\base.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverfile.html", "HTML", 0, 57, 0, 0, 0, 0, 5, 62
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverpage.html", "HTML", 0, 52, 0, 0, 0, 0, 2, 54
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\groceryBase.html", "HTML", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\index.html", "HTML", 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\itemPage.html", "HTML", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantfile.html", "HTML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantpage.html", "HTML", 0, -22, 0, 0, 0, 0, 0, -22
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\payment.html", "HTML", 0, 66, 0, 0, 0, 1, 0, 67
"Total", "-", 156, 200, 293, 246, 10075, 155, 77, 11202
