"filename", "language", "CSS", "Python", "HTML", "JavaScript", "Markdown", "SQL", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 0, 18, 0, 0, 0, 0, 1, 2, 21
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\delever.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\member.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\data.sql", "SQL", 0, 0, 0, 0, 0, 59, 18, 12, 89
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 125, 0, 0, 0, 0, 0, 0, -1, 124
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverPage.css", "CSS", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", -66, 0, 0, 0, 0, 0, 0, 1, -65
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", -32, 0, 0, 0, 0, 0, 0, -1, -33
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\payment.css", "CSS", 25, 0, 0, 0, 0, 0, 0, -1, 24
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\thankyou.css", "CSS", 75, 0, 0, 0, 0, 0, 0, 0, 75
