"filename", "language", "CSS", "Python", "HTML", "JavaScript", "Markdown", "pip requirements", "SQL", "JSON", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 0, 138, 0, 0, 0, 0, 0, 0, 3, 20, 161
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\delever.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 3, 4, 77
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\member.py", "Python", 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", 0, 106, 0, 0, 0, 0, 0, 0, 0, 3, 109
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\order.py", "Python", 0, 92, 0, 0, 0, 0, 0, 0, 2, 6, 100
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 0, 115, 0, 0, 0, 0, 0, 0, 2, 7, 124
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\data.sql", "SQL", 0, 0, 0, 0, 0, 0, 162, 0, 48, 32, 242
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\restaurant.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10075, 0, 0, 10075
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\countDistance.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 5, 7, 25
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\database.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 10, 3, 38
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\jsonify.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\saveToS3.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\token.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 69
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\restaurant.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 128, 12, 168
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverPage.css", "CSS", 154, 0, 0, 0, 0, 0, 0, 0, 0, 3, 157
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverfile.css", "CSS", 81, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 182, 0, 0, 0, 0, 0, 0, 0, 0, 1, 183
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\merchantfile.css", "CSS", 248, 0, 0, 0, 0, 0, 0, 0, 0, 7, 255
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\payment.css", "CSS", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\text.css", "CSS", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\thankyou.css", "CSS", 136, 0, 0, 0, 0, 0, 0, 0, 0, 2, 138
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 89
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\previewPhoto.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\deleverData.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 0, 1, 3, 61
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\fetchInfo.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberData.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 5, 81
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 0, 0, 0, 107, 0, 0, 0, 0, 0, 9, 116
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\merchantFile.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 0, 3, 3, 130
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\thankyou.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 0, 5, 1, 94
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\base_nav.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 6, 1, 100
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\bookList.js", "JavaScript", 0, 0, 0, 170, 0, 0, 0, 0, 4, 11, 185
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\deleverPhoto.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\index_nav.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 8, 7, 151
