"filename", "language", "Python", "JavaScript", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\package-lock.json", "JSON", 0, 0, 0, 185, 0, 0, 1, 186
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\package.json", "JSON", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverPage.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 0, 0, 0, 0, 59, 0, 2, 61
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 19
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\merchantfile.css", "CSS", 0, 0, 0, 0, 12, 1, 1, 14
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\payment.css", "CSS", 0, 0, 0, 0, 59, 0, 0, 59
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 76
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\thankyou.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", 0, 8, 0, 0, 0, 7, 4, 19
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\deleverData.js", "JavaScript", 0, -15, 0, 0, 0, -1, -1, -17
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\fetchInfo.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberData.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 0, -17, 0, 0, 0, 6, 4, -7
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\merchantFile.js", "JavaScript", 0, -33, 0, 0, 0, 0, 2, -31
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\thankyou.js", "JavaScript", 0, 59, 0, 0, 0, 2, 9, 70
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\base_nav.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\bookList.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\index_nav.js", "JavaScript", 0, 22, 0, 0, 0, -5, 4, 21
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\item.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 0, 37, 0, 0, 0, 11, -1, 47
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\menu.js", "JavaScript", 0, 114, 0, 0, 0, -128, 14, 0
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\store.js", "JavaScript", 0, 9, 0, 0, 0, 0, -3, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\tappay.js", "JavaScript", 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverpage.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\index.html", "HTML", 0, 0, 29, 0, 0, -2, -1, 26
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\itemPage.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\merchantpage.html", "HTML", 0, 0, 10, 0, 0, 0, -2, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\payment.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\thankyou.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 4
"Total", "-", 27, 248, 47, 190, 248, -109, 41, 692
