"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\package-lock.json", "JSON", 0, -185, 0, -1, -186
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\package.json", "JSON", 0, -5, 0, -1, -6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", -2, 0, 0, 0, -2
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\fetchInfo.js", "JavaScript", 140, 0, 6, 2, 148
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 2, 0, 1, 0, 3
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\base_nav.js", "JavaScript", -81, 0, -5, 0, -86
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\bookList.js", "JavaScript", 3, 0, 2, 2, 7
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\index_nav.js", "JavaScript", -94, 0, 0, -3, -97
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\item.js", "JavaScript", -111, 0, 3, 4, -104
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 1, 0, 0, 0, 1
"Total", "-", -142, -190, 7, 3, -322
