"filename", "language", "Python", "HTML", "Markdown", "CSS", "JavaScript", "SQL", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\app.py", "Python", 165, 0, 0, 0, 0, 0, 0, 0, 3, 22, 190
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\delever.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 3, 4, 77
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\member.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\merchant_file.py", "Python", 106, 0, 0, 0, 0, 0, 0, 0, 0, 3, 109
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\order.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 2, 6, 100
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\blueprint_file\store.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 2, 7, 124
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\data.sql", "SQL", 0, 0, 0, 0, 0, 162, 0, 0, 48, 32, 242
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\data\restaurant.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10075, 0, 0, 10075
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\countDistance.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 5, 7, 25
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\database.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 10, 3, 38
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\jsonify.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\saveToS3.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\module\token.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 69
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\restaurant.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 128, 12, 168
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\base.css", "CSS", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 173
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverPage.css", "CSS", 0, 0, 0, 162, 0, 0, 0, 0, 0, 3, 165
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\deleverfile.css", "CSS", 0, 0, 0, 81, 0, 0, 0, 0, 0, 3, 84
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\index.css", "CSS", 0, 0, 0, 241, 0, 0, 0, 0, 0, 3, 244
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\item.css", "CSS", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 86
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\merchantfile.css", "CSS", 0, 0, 0, 260, 0, 0, 0, 0, 1, 8, 269
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\payment.css", "CSS", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 161
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\shopEditPage.css", "CSS", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 198
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\text.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 61
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\css\thankyou.css", "CSS", 0, 0, 0, 150, 0, 0, 0, 0, 0, 2, 152
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\confirmMember.js", "JavaScript", 0, 0, 0, 0, 92, 0, 0, 0, 7, 7, 106
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\control\previewPhoto.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\deleverData.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\fetchInfo.js", "JavaScript", 0, 0, 0, 0, 152, 0, 0, 0, 6, 4, 162
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberData.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 5, 83
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\memberLocation.js", "JavaScript", 0, 0, 0, 0, 92, 0, 0, 0, 7, 13, 112
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\merchantFile.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 3, 5, 99
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\model\thankyou.js", "JavaScript", 0, 0, 0, 0, 147, 0, 0, 0, 7, 10, 164
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\base_nav.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 1, 1, 17
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\bookList.js", "JavaScript", 0, 0, 0, 0, 187, 0, 0, 0, 6, 14, 207
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\deleverPhoto.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 53
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\index_nav.js", "JavaScript", 0, 0, 0, 0, 64, 0, 0, 0, 3, 8, 75
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\item.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 3, 9, 47
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\maps.js", "JavaScript", 0, 0, 0, 0, 167, 0, 0, 0, 18, 14, 199
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\menu.js", "JavaScript", 0, 0, 0, 0, 171, 0, 0, 0, 9, 17, 197
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\store.js", "JavaScript", 0, 0, 0, 0, 84, 0, 0, 0, 0, 7, 91
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\static\javascript\view\tappay.js", "JavaScript", 0, 0, 0, 0, 167, 0, 0, 0, 5, 18, 190
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\base.html", "HTML", 0, 61, 0, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverfile.html", "HTML", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\deleverpage.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 0, 0, 2, 81
"c:\Users\user\Desktop\project\Wehelp\Stage3\Foodcoming\templates\index.html", "HTML", 0, 166, 0, 0, 0, 0, 0, 0, 0, 2, 168
